,Car Name,Year,Distance,Owner,Fuel,Location,Drive,Type,Price
4710,Maruti Swift,2014,87656,2,PETROL,MH-12,Manual,HatchBack,416000
4711,Maruti Ciaz,2016,38556,1,PETROL,TS-09,Automatic,Sedan,844000
4712,Honda WR-V,2017,65558,2,CNG,KA-20,Manual,SUV,742000
4713,Maruti Swift,2015,71098,2,PETROL,RJ-29,Manual,HatchBack,436000
4714,Hyundai GRAND I10 NIOS,2020,114004,1,DIESEL,GJ-27,Manual,HatchBack,686000
4715,Maruti Alto K10,2017,47967,2,PETROL,HR-36,Manual,HatchBack,359000
4716,Maruti Baleno,2019,25651,2,PETROL,KA-50,Automatic,HatchBack,721000
4717,Mahindra XUV500,2018,39093,2,DIESEL,KA-03,Automatic,Lux_SUV,1511000
4718,Maruti Swift,2016,64279,2,DIESEL,TN-10,Manual,HatchBack,551000
4719,Hyundai Grand i10,2016,19168,1,PETROL,MH-02,Manual,HatchBack,492000
4720,Maruti Swift,2013,69124,1,PETROL,KA-25,Manual,HatchBack,488000
4721,Maruti Swift,2013,99624,1,PETROL,WB-02,Manual,HatchBack,282000
4722,Maruti Swift Dzire,2012,57021,1,PETROL,TN-66,Manual,Sedan,652000
4723,Hyundai Elite i20,2017,78723,1,CNG,HR-36,Manual,HatchBack,545000
4724,Honda WR-V,2017,34266,1,PETROL,KA-32,Manual,SUV,811000
4725,Volkswagen Vento,2020,59014,2,PETROL,MH-03,Manual,Sedan,314000
4726,Maruti Swift,2022,20846,1,PETROL,KA-43,Manual,HatchBack,737000
4727,Maruti Alto K10,2015,14766,2,PETROL,CH-01,Manual,HatchBack,302000
4728,Maruti Swift,2011,118252,2,DIESEL,PB-02,Manual,HatchBack,325000
4729,Renault Kiger,2021,21642,2,PETROL,KA-51,Automatic,HatchBack,947000
4730,Hyundai Verna,2016,70833,3,PETROL,GJ-01,Automatic,Sedan,629000
4731,Maruti Swift,2018,26007,1,PETROL,KA-68,Automatic,HatchBack,681000
4732,Tata NEXON,2021,26533,1,PETROL,TN-14,Manual,SUV,948000
4733,Maruti New Wagon-R,2021,35724,1,CNG,HR-26,Manual,HatchBack,611000
4734,Maruti IGNIS,2018,68107,2,PETROL,GJ-17,Automatic,HatchBack,533000
4735,Honda Amaze,2019,39485,1,PETROL,HR-26,Automatic,Sedan,733000
4736,Hyundai Verna,2018,78698,2,PETROL,DL-2C,Automatic,Sedan,960000
4737,Toyota YARIS,2021,26202,1,PETROL,DL-12,Automatic,Sedan,815000
4738,Volkswagen Polo,2016,60491,1,PETROL,MH-04,Manual,HatchBack,556000
4739,Datsun Redi Go,2018,30402,2,PETROL,UP-14,Automatic,HatchBack,350000
4740,Maruti Wagon R 1.0,2016,61868,1,CNG,MH-43,Manual,HatchBack,389000
4741,Renault Kwid,2021,20542,1,PETROL,GJ-12,Manual,HatchBack,483000
4742,Honda City,2015,97025,2,DIESEL,GJ-01,Manual,Sedan,657000
4743,Mahindra KUV 100 NXT,2018,9254,1,PETROL,MH-04,Manual,SUV,517000
4744,Maruti Wagon R 1.0,2015,37345,1,PETROL,BR-01,Manual,HatchBack,340000
4745,Hyundai Grand i10,2018,27334,1,PETROL,GJ-06,Manual,HatchBack,519000
4746,Hyundai Xcent,2018,63498,1,PETROL,HR-26,Automatic,Sedan,933000
4747,Honda Amaze,2018,39259,1,PETROL,MH-04,Automatic,Sedan,729000
4748,Maruti New Wagon-R,2019,77639,1,PETROL,UP-27,Manual,HatchBack,417000
4749,Maruti Swift,2016,98978,1,DIESEL,TN-09,Manual,HatchBack,630000
4750,Maruti Celerio,2019,14191,1,PETROL,TN-06,Manual,HatchBack,483000
4751,Ford Ecosport,2018,47956,1,DIESEL,UP-32,Manual,SUV,634000
4752,Renault Kwid,2022,13872,1,PETROL,DL-12,Manual,HatchBack,539000
4753,Maruti Swift,2020,58815,1,PETROL,HR-26,Manual,HatchBack,603000
4754,Maruti Wagon R 1.0,2017,31637,2,PETROL,TN-10,Manual,HatchBack,464000
4755,Hyundai Grand i10,2016,92564,1,PETROL,KA-04,Manual,HatchBack,507000
4756,Honda City,2011,43603,1,PETROL,KA-53,Manual,Sedan,343000
4757,KIA SELTOS,2019,35371,1,PETROL,KA-04,Manual,SUV,1355000
4758,Hyundai Elite i20,2018,52473,1,PETROL,KA-06,Manual,HatchBack,751000
4759,Datsun Redi Go,2018,106824,1,PETROL,,Manual,HatchBack,247000
4760,Hyundai Verna,2015,54945,1,PETROL,MH-01,Automatic,Sedan,997000
4761,Hyundai i20,2010,116982,1,PETROL,,Manual,HatchBack,316000
4762,Hyundai Grand i10,2017,114945,1,CNG,GJ-24,Manual,HatchBack,484000
4763,Volkswagen Vento,2017,77120,1,PETROL,DL-4C,Manual,Sedan,321000
4764,Maruti Ciaz,2016,42925,1,PETROL,KA-50,Automatic,Sedan,705000
4765,Maruti Alto,2019,67329,1,PETROL,KA-16,Manual,HatchBack,372000
4766,Hyundai NEW I20,2022,9811,1,PETROL,KL-29,Manual,HatchBack,774000
4767,Maruti Wagon R 1.0,2017,61110,2,CNG,MH-03,Manual,HatchBack,408000
4768,Hyundai New Elantra,2017,97989,1,PETROL,MH-48,Automatic,Lux_sedan,985000
4769,Hyundai Creta,2017,24459,2,PETROL,KA-51,Automatic,SUV,1061000
4770,KIA SELTOS,2020,57218,1,DIESEL,DL-8C,Manual,SUV,1150000
4771,Renault Duster,2019,100579,2,DIESEL,DL-7C,Manual,SUV,755000
4772,Maruti Wagon R 1.0,2017,40598,3,CNG,GJ-05,Manual,HatchBack,409000
4773,Volkswagen Polo,2011,101582,1,PETROL,,Manual,HatchBack,279000
4774,Honda Jazz,2017,97372,2,PETROL,MH-46,Automatic,HatchBack,577000
4775,Maruti Celerio X,2018,28614,1,PETROL,MH-02,Manual,HatchBack,461000
4776,Hyundai GRAND I10 NIOS,2021,11713,1,PETROL,PB-91,Manual,HatchBack,570000
4777,Hyundai Grand i10,2017,42006,2,CNG,DL-11,Manual,HatchBack,482000
4778,Maruti Swift,2017,83340,1,DIESEL,HR-03,Manual,HatchBack,457000
4779,Volkswagen Polo,2019,56980,2,PETROL,MH-31,Manual,HatchBack,554000
4780,Hyundai i20 Active,2016,26452,1,PETROL,TN-22,Manual,HatchBack,659000
4781,Maruti Alto 800,2014,78276,2,PETROL,TN-07,Manual,HatchBack,229000
4782,Maruti Vitara Brezza,2020,39570,1,PETROL,TN-04,Automatic,SUV,947000
4783,Maruti Baleno,2016,78075,1,PETROL,UP-32,Manual,HatchBack,520000
4784,Maruti S Cross,2020,23160,1,PETROL,HR-51,Automatic,SUV,1060000
4785,Mahindra XUV 3OO,2019,85088,1,DIESEL,KA-51,Manual,SUV,979000
4786,Volkswagen Vento,2019,104243,1,DIESEL,RJ-14,Manual,Sedan,397000
4787,Maruti New Wagon-R,2019,12413,1,PETROL,MH-02,Automatic,HatchBack,577000
4788,Hyundai GRAND I10 NIOS,2020,44498,1,CNG,MH-14,Manual,HatchBack,746000
4789,Volkswagen Polo,2011,68935,1,PETROL,DL-10,Manual,HatchBack,248000
4790,Hyundai Xcent,2018,19877,1,PETROL,TS-07,Automatic,Sedan,897000
4791,Maruti Wagon R 1.0,2017,21940,1,PETROL,MH-01,Automatic,HatchBack,467000
4792,Maruti Swift,2012,79876,1,PETROL,KA-04,Manual,HatchBack,432000
4793,KIA SELTOS,2019,69587,1,DIESEL,TS-09,Automatic,SUV,1568300
4794,Maruti Wagon R 1.0,2017,69159,1,PETROL,RJ-02,Automatic,HatchBack,412000
4795,Maruti Baleno,2019,38368,2,PETROL,GJ-01,Manual,HatchBack,645000
4796,Hyundai Elite i20,2019,42787,1,PETROL,GJ-27,Manual,HatchBack,613000
4797,Maruti Swift Dzire,2016,66020,2,PETROL,MH-48,Manual,Sedan,596000
4798,Maruti Ciaz,2020,66754,1,PETROL,MH-01,Manual,Sedan,620000
4799,Maruti New Wagon-R,2019,17396,1,PETROL,MH-02,Automatic,HatchBack,556000
4800,Hyundai Grand i10,2016,52339,1,PETROL,TS-13,Manual,HatchBack,506000
4801,Hyundai Creta,2016,88540,1,CNG,DL-2C,Manual,SUV,829000
4802,Maruti Alto,2019,31704,1,PETROL,TS-09,Manual,HatchBack,338000
4803,Hyundai Grand i10,2017,57438,2,PETROL,DL-7C,Automatic,HatchBack,489000
4804,Hyundai Grand i10,2017,13833,1,PETROL,TN-12,Manual,HatchBack,502000
4805,Hyundai Grand i10,2018,18545,1,PETROL,MH-14,Automatic,HatchBack,644000
4806,Maruti Baleno,2017,35292,1,PETROL,KA-03,Manual,HatchBack,685000
4807,Maruti Swift,2010,82909,1,PETROL,CH-01,Manual,HatchBack,232000
4808,Tata Tiago,2018,45826,1,PETROL,MH-01,Manual,HatchBack,429000
4809,Maruti Swift,2018,84985,1,PETROL,UP-32,Automatic,HatchBack,554000
4810,Hyundai Elite i20,2019,81950,1,PETROL,GJ-05,Manual,HatchBack,613000
4811,Hyundai Grand i10,2013,96895,1,PETROL,DL-7C,Manual,HatchBack,303000
4812,Maruti Wagon R 1.0,2018,6692,1,PETROL,MH-01,Automatic,HatchBack,501000
4813,Maruti Celerio,2014,70625,1,PETROL,MP-04,Manual,HatchBack,348000
4814,Maruti Alto 800,2018,24796,1,PETROL,HR-29,Manual,HatchBack,307000
4815,Maruti Alto K10,2017,74155,2,PETROL,PB-08,Manual,HatchBack,341000
4816,Hyundai i20,2012,95047,1,PETROL,DL-10,Manual,HatchBack,270000
4817,Maruti Ciaz,2016,94136,1,PETROL,DL-4C,Manual,Sedan,604000
4818,Toyota YARIS,2018,53409,1,PETROL,DL-1C,Automatic,Sedan,748000
4819,Maruti Swift,2017,74397,1,PETROL,GJ-06,Manual,HatchBack,470000
4820,Maruti Wagon R 1.0,2013,77907,1,PETROL,MH-46,Manual,HatchBack,308000
4821,Ford Ecosport,2017,71230,1,DIESEL,KA-20,Manual,SUV,738000
4822,Maruti Baleno,2016,58040,1,PETROL,MH-47,Manual,HatchBack,517000
4823,Hyundai Grand i10,2014,102126,1,PETROL,,Automatic,HatchBack,381000
4824,Renault Kwid,2018,32016,2,PETROL,KA-50,Automatic,HatchBack,483000
4825,Maruti Alto 800,2018,20827,2,PETROL,TN-21,Manual,HatchBack,323000
4826,Volkswagen Vento,2021,91750,2,PETROL,MH-43,Manual,Sedan,624000
4827,Hyundai VENUE,2021,11936,1,PETROL,UP-32,Manual,SUV,1017000
4828,Maruti Baleno,2016,83075,2,PETROL,KA-06,Automatic,HatchBack,597000
4829,Maruti Swift,2014,44060,1,DIESEL,HR-36,Manual,HatchBack,396000
4830,Maruti Baleno,2019,53379,1,PETROL,MH-02,Manual,HatchBack,694000
4831,Ford Ecosport,2014,47208,1,PETROL,WB-08,Manual,SUV,403000
4832,Maruti Celerio,2019,93348,1,CNG,MH-12,Manual,HatchBack,480000
4833,Maruti Ciaz,2020,90951,1,DIESEL,TS-07,Automatic,Sedan,939000
4834,Hyundai i10,2013,66444,1,PETROL,GJ-27,Manual,HatchBack,291000
4835,Maruti Celerio,2020,37570,1,PETROL,GJ-30,Manual,HatchBack,483000
4836,Hyundai Grand i10,2016,21674,2,PETROL,TN-14,Manual,HatchBack,446000
4837,Tata ALTROZ,2022,8837,1,DIESEL,TN-05,Manual,HatchBack,792000
4838,Honda Amaze,2021,18854,1,PETROL,KA-55,Automatic,Sedan,1282000
4839,Renault Kwid,2019,44363,2,PETROL,TS-11,Manual,HatchBack,411000
4840,Maruti IGNIS,2020,35980,1,PETROL,MH-02,Automatic,HatchBack,679000
4841,Maruti Wagon R 1.0,2014,94458,2,PETROL,GJ-01,Manual,HatchBack,314000
4842,Maruti Baleno,2019,32098,1,PETROL,TS-09,Automatic,HatchBack,790000
4843,Tata Tiago,2021,4136,1,PETROL,KA-01,Manual,HatchBack,726000
4844,Hyundai i10,2016,56915,3,PETROL,WB-08,Manual,HatchBack,283000
4845,Hyundai Verna,2016,117097,1,DIESEL,MH-12,Manual,Sedan,630000
4846,Hyundai i20,2011,29712,1,PETROL,DL-3C,Manual,HatchBack,263000
4847,Hyundai Elite i20,2018,33436,2,PETROL,TN-01,Manual,HatchBack,572000
4848,Tata Bolt,2015,124731,1,PETROL,,Manual,HatchBack,309000
4849,Maruti Celerio,2014,76329,1,PETROL,KA-03,Automatic,HatchBack,387000
4850,Maruti Ciaz,2016,75694,2,PETROL,TS-09,Manual,Sedan,567000
4851,Maruti Ertiga,2021,19164,1,PETROL,GJ-16,Manual,SUV,1115000
4852,Tata NEXON,2019,54264,1,PETROL,DL-3C,Manual,SUV,716000
4853,Mahindra XUV 3OO,2019,38035,1,DIESEL,RJ-45,Manual,SUV,816000
4854,Maruti Alto 800,2015,49692,2,PETROL,TS-05,Manual,HatchBack,273000
4855,Maruti Swift,2013,81712,1,PETROL,KA-04,Manual,HatchBack,491000
4856,Maruti Swift,2016,79267,1,PETROL,DL-4C,Manual,HatchBack,359000
4857,Maruti Dzire,2017,21999,1,PETROL,TN-04,Automatic,Sedan,586000
4858,Hyundai Verna,2017,100635,2,DIESEL,MH-02,Manual,Sedan,309000
4859,Maruti Baleno,2019,25894,1,PETROL,GJ-26,Manual,HatchBack,608000
4860,Maruti Baleno,2018,21097,2,PETROL,GJ-23,Manual,HatchBack,638000
4861,Maruti S PRESSO,2021,22620,1,CNG,DL-9C,Manual,HatchBack,470000
4862,Maruti Swift,2020,9085,1,PETROL,KA-05,Manual,HatchBack,695000
4863,Maruti Vitara Brezza,2018,57593,2,DIESEL,GJ-38,Manual,SUV,812000
4864,Maruti Swift,2012,60606,2,PETROL,KA-41,Manual,HatchBack,482000
4865,Maruti Swift,2011,61896,1,PETROL,DL-12,Manual,HatchBack,312000
4866,Toyota Etios Liva,2018,26570,1,DIESEL,UP-16,Manual,HatchBack,592000
4867,Hyundai Elite i20,2018,43857,1,DIESEL,UP-16,Manual,HatchBack,604000
4868,Datsun Redi Go,2020,11131,1,PETROL,KL-33,Automatic,HatchBack,436000
4869,Tata ALTROZ,2021,11559,1,PETROL,MH-05,Manual,HatchBack,725000
4870,Maruti Swift,2014,60574,1,PETROL,UP-43,Manual,HatchBack,394000
4871,Maruti Baleno,2020,22984,2,PETROL,DL-5C,Manual,HatchBack,607000
4872,Tata Tiago,2017,28809,1,PETROL,KA-41,Manual,HatchBack,507000
4873,Maruti Ritz,2010,81744,1,PETROL,DL-9C,Manual,HatchBack,178000
4874,Maruti Dzire,2017,24920,1,PETROL,MH-49,Manual,Sedan,609000
4875,Honda City,2010,79792,1,PETROL,HR-26,Manual,Sedan,254000
4876,Maruti IGNIS,2019,31700,2,PETROL,TN-10,Automatic,HatchBack,602000
4877,Honda Amaze,2015,78775,3,DIESEL,GJ-05,Manual,Sedan,368000
4878,Hyundai Elite i20,2019,32175,1,PETROL,UP-32,Manual,HatchBack,646000
4879,Maruti Alto K10,2018,32278,1,PETROL,KA-51,Manual,HatchBack,390000
4880,Maruti Swift Dzire,2013,56927,1,PETROL,KA-19,Manual,Sedan,464000
4881,Maruti Alto,2022,653,1,PETROL,KA-04,Manual,HatchBack,474000
4882,Hyundai Eon,2016,40914,1,PETROL,WB-24,Manual,HatchBack,266000
4883,Datsun Go Plus,2018,44225,1,CNG,DL-14,Manual,HatchBack,362000
4884,Honda Amaze,2018,87772,1,CNG,GJ-03,Manual,Sedan,646000
4885,Maruti Swift Dzire,2013,55225,1,PETROL,MH-05,Manual,Sedan,419000
4886,Hyundai NEW SANTRO,2019,59985,1,PETROL,TN-19,Manual,HatchBack,521000
4887,Honda Jazz,2016,77501,3,PETROL,KA-02,Manual,HatchBack,572000
4888,Maruti Swift Dzire,2015,37747,1,PETROL,GJ-06,Manual,Sedan,1218000
4889,Tata TIGOR,2018,36546,2,PETROL,CH-01,Manual,Sedan,931000
4890,Tata TIGOR,2022,7010,1,PETROL,WB-24,Automatic,Sedan,733000
4891,Maruti Swift,2019,59382,1,PETROL,BR-31,Manual,HatchBack,547000
4892,Hyundai Grand i10,2016,60570,1,PETROL,TN-09,Manual,HatchBack,471000
4893,Hyundai Santro Xing,2011,69941,1,PETROL,HR-26,Manual,HatchBack,180000
4894,Toyota Etios Liva,2011,44516,2,PETROL,MH-02,Manual,HatchBack,247000
4895,Toyota Etios Liva,2012,86850,2,PETROL,MP-04,Manual,HatchBack,260000
4896,Honda Amaze,2015,28306,1,PETROL,TS-08,Automatic,Sedan,1148000
4897,Maruti Alto K10,2017,28383,2,PETROL,TN-12,Manual,HatchBack,362000
4898,Maruti Swift Dzire,2016,39530,1,PETROL,DL-8C,Manual,Sedan,387000
4899,Hyundai Elite i20,2018,72131,1,DIESEL,KA-04,Manual,HatchBack,734000
4900,Maruti Swift,2012,57188,2,PETROL,DL-3C,Manual,HatchBack,298000
4901,,,13794,1,PETROL,DL-14,Automatic,Sedan,976000
4902,Hyundai NEW SANTRO,2018,9205,2,PETROL,KA-51,Automatic,HatchBack,554000
4903,Honda CRV,2013,74039,2,PETROL,MH-05,Automatic,Lux_SUV,731000
4904,Renault Kwid,2020,8733,1,PETROL,KA-01,Automatic,HatchBack,582000
4905,Hyundai Eon,2014,81210,1,PETROL,KA-03,Manual,HatchBack,268000
4906,Honda Brio,2015,96198,1,PETROL,KA-04,Manual,HatchBack,437000
4907,Maruti Alto 800,2016,26851,2,PETROL,KA-21,Manual,HatchBack,289000
4908,Maruti Swift,2018,44625,1,PETROL,RJ-45,Manual,HatchBack,536000
4909,Volkswagen Polo,2019,94931,1,PETROL,TN-81,Manual,HatchBack,721000
4910,Honda Amaze,2014,94539,1,PETROL,GJ-27,Manual,Sedan,384000
4911,Hyundai Grand i10,2016,46019,2,PETROL,TN-01,Manual,HatchBack,430000
4912,Hyundai Grand i10,2017,13484,1,PETROL,TS-08,Automatic,HatchBack,634000
4913,Maruti Vitara Brezza,2021,27815,2,PETROL,GJ-01,Manual,SUV,847000
4914,Honda Jazz,2019,47033,2,PETROL,KA-50,Automatic,HatchBack,731000
4915,Maruti Celerio,2016,47465,1,PETROL,DL-6C,Automatic,HatchBack,407000
4916,Maruti S Cross,2020,39300,1,PETROL,UP-32,Manual,SUV,983000
4917,Tata Tiago,2021,15915,1,PETROL,HR-36,Manual,HatchBack,557000
4918,Ford Ecosport,2018,46124,2,PETROL,MH-14,Automatic,SUV,768000
4919,Toyota Corolla Altis,2011,53059,2,CNG,DL-3C,Manual,Lux_sedan,338000
4920,Hyundai Verna,2015,40714,1,CNG,HR-51,Manual,Sedan,727000
4921,Renault Kiger,2021,14426,1,PETROL,KA-03,Automatic,HatchBack,998000
4922,Maruti Ciaz,2017,22541,2,PETROL,KA-42,Automatic,Sedan,1042000
4923,Maruti Wagon R 1.0,2018,66619,1,CNG,UP-14,Manual,HatchBack,391000
4924,Tata NEXON,2021,17657,1,PETROL,MH-31,Manual,SUV,956000
4925,Hyundai i10,2011,75979,2,PETROL,AP-07,Manual,HatchBack,267000
4926,Maruti Swift,2015,57604,1,PETROL,KA-51,Manual,HatchBack,563000
4927,Hyundai i20,2014,84953,2,PETROL,KA-53,Manual,HatchBack,388000
4928,Mahindra XUV500,2015,87902,3,DIESEL,MH-04,Manual,Lux_SUV,756000
4929,Maruti Swift,2012,114012,3,DIESEL,MH-03,Manual,HatchBack,348000
4930,Hyundai Verna,2018,67370,2,DIESEL,TS-13,Automatic,Sedan,1098000
4931,Maruti Baleno,2021,17744,1,PETROL,KA-01,Automatic,HatchBack,879000
4932,Maruti Ciaz,2021,15343,1,PETROL,KA-01,Automatic,Sedan,941000
4933,Maruti Celerio X,2019,27301,1,PETROL,MH-49,Automatic,HatchBack,591000
4934,Honda Jazz,2016,101652,1,PETROL,,Manual,HatchBack,414000
4935,Maruti Swift,2017,42632,2,PETROL,KL-07,Manual,HatchBack,546000
4936,Maruti Celerio,2016,90249,1,PETROL,TN-12,Automatic,HatchBack,396000
4937,Ford FREESTYLE,2018,59005,1,DIESEL,KA-03,Manual,SUV,613000
4938,Maruti Baleno,2017,27985,1,PETROL,DL-8C,Manual,HatchBack,548000
4939,MG HECTOR,2019,24618,1,DIESEL,GJ-05,Manual,SUV,1308000
4940,Maruti Alto K10,2017,44338,2,PETROL,UP-32,Manual,HatchBack,280000
4941,Hyundai i20 Active,2016,57871,2,PETROL,TN-11,Manual,HatchBack,605000
4942,Hyundai Verna,2014,53875,1,PETROL,GJ-05,Manual,Sedan,481000
4943,Maruti Alto 800,2014,72955,2,PETROL,MH-02,Manual,HatchBack,190000
4944,Hyundai Grand i10,2015,41152,2,PETROL,MH-43,Manual,HatchBack,418000
4945,Skoda KUSHAQ,2021,16611,1,PETROL,MH-04,Manual,SUV,1212000
4946,Maruti New Wagon-R,2019,68678,1,CNG,HR-29,Manual,HatchBack,567000
4947,Hyundai Elite i20,2016,49687,2,PETROL,DL-2C,Manual,HatchBack,584000
4948,Maruti Baleno,2017,121933,1,PETROL,,Manual,HatchBack,587000
4949,Mahindra KUV 100 NXT,2020,15049,1,PETROL,MH-05,Manual,SUV,667000
4950,Hyundai Elite i20,2014,44008,1,PETROL,KA-51,Manual,HatchBack,578000
4951,Hyundai i10,2012,79865,2,PETROL,DL-12,Manual,HatchBack,239000
4952,Hyundai GRAND I10 NIOS,2021,13450,1,PETROL,CH-01,Manual,HatchBack,590000
4953,Hyundai GRAND I10 NIOS,2020,33659,1,PETROL,PB-65,Manual,HatchBack,573000
4954,Ford FREESTYLE,2018,37625,1,DIESEL,HR-30,Manual,SUV,500000
4955,Ford Ecosport,2019,108772,1,DIESEL,TN-72,Manual,SUV,771000
4956,Hyundai Creta,2015,121056,2,DIESEL,GJ-01,Manual,SUV,699000
4957,Renault Kwid,2019,37478,1,PETROL,RJ-45,Manual,HatchBack,343000
4958,Honda Brio,2015,50489,1,PETROL,HR-51,Manual,HatchBack,354000
4959,Maruti IGNIS,2018,26137,2,PETROL,TN-19,Manual,HatchBack,537000
4960,Ford FREESTYLE,2018,77281,1,PETROL,KL-39,Manual,SUV,478000
4961,Datsun Redi Go,2018,4909,2,PETROL,HR-51,Automatic,HatchBack,412000
4962,Maruti Vitara Brezza,2017,121129,2,DIESEL,TS-07,Manual,SUV,833000
4963,Maruti Baleno,2021,34348,1,PETROL,UP-32,Manual,HatchBack,565000
4964,Maruti Dzire,2018,27611,1,PETROL,DL-1C,Automatic,Sedan,768000
4965,Maruti Swift Dzire,2010,79541,1,PETROL,TN-07,Manual,Sedan,418000
4966,Hyundai NEW I20,2021,40429,2,PETROL,KA-16,Automatic,HatchBack,1011000
4967,Hyundai Eon,2012,123598,2,PETROL,,Manual,HatchBack,221000
4968,Renault Kwid,2021,11389,1,PETROL,KA-04,Manual,HatchBack,523000
4969,Skoda Rapid,2017,29942,2,PETROL,KA-51,Manual,Sedan,770000
4970,Hyundai i10,2010,24442,1,PETROL,BR-01,Manual,HatchBack,171000
4971,Tata NEXON,2018,71848,2,DIESEL,MP-09,Manual,SUV,692000
4972,Maruti Wagon R 1.0,2016,66754,1,PETROL,TS-08,Manual,HatchBack,454000
4973,Hyundai Grand i10,2019,24337,2,PETROL,TS-08,Manual,HatchBack,542000
4974,Maruti Alto 800,2012,68582,1,PETROL,KA-51,Manual,HatchBack,270000
4975,Toyota YARIS,2018,45165,2,PETROL,GJ-01,Manual,Sedan,781000
4976,Maruti Dzire,2018,23501,1,PETROL,DL-9C,Automatic,Sedan,755000
4977,Maruti IGNIS,2020,23325,1,PETROL,TS-08,Automatic,HatchBack,723000
4978,Hyundai Xcent,2017,42900,1,PETROL,MH-04,Automatic,Sedan,889000
4979,Maruti Ciaz,2016,48247,1,PETROL,TS-09,Automatic,Sedan,744000
4980,Volkswagen Ameo,2019,81362,2,DIESEL,TS-09,Manual,Sedan,852000
4981,Hyundai Elite i20,2018,26772,2,PETROL,MH-12,Manual,HatchBack,621000
4982,Maruti Wagon R 1.0,2013,47038,1,PETROL,DL-9C,Manual,HatchBack,283000
4983,Tata Tiago,2020,28971,2,PETROL,TN-22,Automatic,HatchBack,640000
4984,Maruti Alto 800,2013,64268,2,PETROL,AP-01,Manual,HatchBack,216000
4985,Hyundai VENUE,2020,68413,1,PETROL,KA-29,Automatic,SUV,1050000
4986,Honda WR-V,2019,68714,1,PETROL,UP-14,Manual,SUV,711000
4987,Honda City,2013,57786,3,DIESEL,GJ-01,Manual,Sedan,336000
4988,Maruti Alto,2010,86642,1,PETROL,KA-50,Manual,HatchBack,200000
4989,Hyundai Verna,2019,31184,1,DIESEL,DL-3C,Manual,Sedan,879000
4990,Datsun Redi Go,2018,46291,1,PETROL,MH-14,Manual,HatchBack,289000
4991,Maruti Swift,2011,48422,1,PETROL,DL-4C,Manual,HatchBack,227000
4992,Maruti Baleno,2017,52527,1,DIESEL,TN-07,Manual,HatchBack,656000
4993,Maruti S Cross,2020,28989,1,PETROL,MH-40,Automatic,SUV,1183000
4994,Volkswagen TIGUAN,2018,92569,1,DIESEL,TS-07,Automatic,Lux_SUV,1975000
4995,Renault Kiger,2021,2634,1,PETROL,UP-16,Automatic,HatchBack,920000
4996,Renault Kwid,2017,45933,2,PETROL,GJ-05,Automatic,HatchBack,340000
4997,Hyundai i20,2010,47865,2,PETROL,MH-02,Manual,HatchBack,216000
4998,Tata Bolt,2016,54592,2,PETROL,MH-12,Manual,HatchBack,375000
4999,Toyota Corolla Altis,2010,70947,3,DIESEL,WB-06,Manual,Lux_sedan,272000
5000,Tata TIGOR,2022,25981,1,CNG,GJ-03,Manual,Sedan,759000
5001,Toyota Glanza,2021,24378,1,PETROL,HR-82,Manual,HatchBack,759000
5002,Honda Amaze,2020,25413,1,PETROL,MH-12,Automatic,Sedan,734000
5003,Maruti Vitara Brezza,2018,38226,1,DIESEL,UP-14,Manual,SUV,729000
5004,Maruti Baleno,2017,76028,1,PETROL,MH-05,Manual,HatchBack,542000
5005,Toyota Etios,2014,71275,1,DIESEL,MH-02,Manual,Sedan,774000
5006,Renault Duster,2021,36371,1,PETROL,KL-64,Manual,SUV,1035000
5007,Maruti Ciaz,2019,26147,1,PETROL,TN-02,Manual,Sedan,846000
5008,Maruti Swift,2014,59786,1,PETROL,WB-12,Manual,HatchBack,335000
5009,Hyundai Creta,2017,100453,1,DIESEL,TN-12,Manual,SUV,867000
5010,Maruti Dzire,2017,32463,2,PETROL,DL-10,Manual,Sedan,513000
5011,Maruti Wagon R 1.0,2014,18501,1,PETROL,MH-03,Manual,HatchBack,343000
5012,Hyundai Creta,2018,87542,1,DIESEL,UP-14,Manual,SUV,792000
5013,Volkswagen Ameo,2017,31487,1,PETROL,WB-12,Manual,Sedan,341000
5014,Maruti S PRESSO,2022,8467,1,PETROL,TS-15,Manual,HatchBack,578000
5015,Maruti Swift,2017,79464,1,DIESEL,MH-12,Manual,HatchBack,640000
5016,Hyundai Verna,2016,54340,2,DIESEL,MH-01,Manual,Sedan,736000
5017,Hyundai i20,2014,34836,2,PETROL,KA-01,Manual,HatchBack,552800
5018,Skoda Rapid,2016,100263,1,DIESEL,UP-16,Manual,Sedan,422000
5019,Maruti Swift Dzire,2017,33065,1,PETROL,KL-39,Automatic,Sedan,504000
5020,Maruti Celerio,2018,65959,1,PETROL,CH-01,Manual,HatchBack,396000
5021,Hyundai Grand i10,2013,88521,2,PETROL,GJ-01,Manual,HatchBack,377000
5022,Hyundai Grand i10,2017,51075,2,CNG,GJ-10,Manual,HatchBack,545000
5023,Honda City,2016,58808,2,PETROL,KA-04,Manual,Sedan,709000
5024,Honda Amaze,2018,31330,2,PETROL,DL-9C,Automatic,Sedan,718000
5025,Datsun Redi Go,2018,48679,1,PETROL,GJ-05,Manual,HatchBack,275000
5026,Hyundai Grand i10,2019,31953,1,PETROL,GJ-01,Manual,HatchBack,559000
5027,Renault Kiger,2021,12944,1,PETROL,DL-3C,Automatic,HatchBack,957000
